Delta	N_peaks_nomet	Greedy_nomet	Random_nomet	N_peaks_ext	Greedy_ext	Random_ext
0.0	11	0.20711661203880713	0.1995285301672269	13	0.35712842265169514	0.22237142944483576
0.05	4	0.042792274712746006	0.045771754447654016	10	0.0951186187174121	0.1015752185465184
0.1	2	0.031422262060219565	0.02756994151393365	5	0.10488207206935307	0.06626172344189066
0.15	2	0.028594908721965028	0.027613290478578193	4	0.06472216908246489	0.06425696328134438
0.2	2	0.027500496378228337	0.02758439116881516	2	0.03861519334162931	0.03809923466596635
0.25	2	0.0241309553816741	0.02763255668508688	2	0.0349024080950718	0.038805056136554585
0.3	1	0.0	0.0	1	0.0	0.0
0.35	1	0.0	0.0	1	0.0	0.0
0.4	1	0.0	0.0	1	0.0	0.0
0.45	1	0.0	0.0	1	0.0	0.0
0.5	1	0.0	0.0	1	0.0	0.0
