Delta	N_peaks_nomet	Greedy_nomet	Random_nomet	N_peaks_ext	Greedy_ext	Random_ext
0.0	2	0.03936415331250058	0.044547100165312534	3	0.08313025131250122	0.10012784929234382
0.05	2	0.0394432721627605	0.044634576061562535	3	0.08740065336985672	0.09988646470515632
0.1	2	0.0400131805550551	0.04382542402125007	2	0.06703794550000106	0.06603237631750006
0.15	2	0.05776086588996253	0.04314748582531254	2	0.06703794550000106	0.06672370513046881
0.2	1	0.0	0.0	2	0.06703794550000106	0.06619997118125007
0.25	1	0.0	0.0	2	0.06703794550000106	0.06628376861312506
0.3	1	0.0	0.0	2	0.06703794550000106	0.06645136347687505
0.35	1	0.0	0.0	2	0.06703794550000106	0.06647231283484382
0.4	1	0.0	0.0	2	0.06703794550000106	0.06645136347687507
0.45	1	0.0	0.0	2	0.06703794550000106	0.06668180641453132
0.5	1	0.0	0.0	2	0.06703794550000106	0.06619997118125007
